	Pro1	Pro2	Pro3	R2F01	R2F16
PB.14.54	74	34	8	215	88
PB.14.56	4	3	1	5	10
PB.14.78	6	3	3	9	8
PB.14.86	7	4	138	18	5
PB.14.88	54	21	2	135	70
PB.14.89	24	59	5	53	37
PB.14.96	33	11	4	62	29
PB.14.117	12	6	5	16	22
PB.14.148	4	5	1	5	3
PB.14.195	9	8	1	4	3
PB.15.1	44	16	6	10	5
PB.15.6	11	1	6	5	3
PB.15.17	2	1	2	1	1
PB.15.36	19	8	2	7	11
PB.15.41	10	2	1	5	1
PB.15.46	3	5	4	2	2
PB.15.54	4	4	4	1	4
PB.15.56	4	3	3	4	3
PB.15.71	4	2	2	3	2
PB.15.143	6	3	1	1	3
PB.15.152	1	3	2	3	3
PB.15.159	1	2	4	1	1
PB.15.186	1	1	4	2	4
PB.15.191	2	1	1	2	1
PB.16.2	28	19	2	11	64
PB.16.3	32	14	3	27	58
PB.16.6	18	9	2	8	37
PB.16.11	6	4	1	4	10
PB.16.69	5	1	2	5	20
PB.16.134	7	3	2	9	10
PB.16.137	11	4	4	3	1
PB.16.141	3	1	2	4	3
PB.16.149	38	22	12	42	57
PB.16.174	354	142	163	187	270
PB.16.306	3	1	5	3	14
PB.16.309	4	4	5	12	28
PB.16.375	153	50	77	208	204
PB.16.376	7	6	2	8	15
PB.16.377	17	7	27	51	1
PB.16.381	13	2	12	18	41
PB.16.490	49	22	10	30	40
PB.16.496	1	1	2	1	1
PB.16.498	4	1	2	1	2
PB.16.501	280	133	120	292	234
PB.16.516	5	2	1	1	2
PB.16.538	6	2	1	18	13
PB.16.634	9	5	5	13	10
PB.16.637	6	5	4	10	9
PB.16.640	12	6	4	18	19
PB.16.732	6	1	1	4	2
PB.16.838	14	6	1	18	12
PB.16.844	25	7	13	29	31
PB.16.849	4	2	4	4	7
PB.16.850	10	4	3	9	10
PB.16.893	17	7	4	13	6
PB.16.921	11	1	2	8	6
PB.16.942	19	4	3	13	10
PB.16.979	6	1	2	2	3
PB.16.986	4	1	3	2	1
PB.16.996	7	1	5	1	1
PB.16.1032	2	1	1	2	2
PB.16.1035	3	1	1	5	1
PB.16.1039	2	2	1	2	4
PB.16.1048	8	3	5	8	8
PB.16.1055	6	1	5	4	2
PB.16.1066	10	5	7	8	7
PB.16.1070	10	5	2	7	7
PB.16.1073	1	2	2	6	3
PB.16.1083	3	1	2	10	7
PB.16.1092	7	3	3	12	5
PB.16.1099	2	1	1	1	2
PB.16.1126	1	1	3	2	4
PB.16.1141	7	4	5	5	5
PB.16.1143	3	6	6	13	24
PB.16.1152	2	2	2	3	1
PB.16.1158	2	1	2	2	7
PB.16.1187	3	4	1	2	1
PB.16.1208	10	1	2	7	1
PB.16.1216	1	1	3	4	5
PB.16.1217	48	19	32	25	52
PB.16.1224	11	7	5	12	5
PB.16.1225	20	1	3	15	5
PB.42.1	65	28	26	5	31
PB.42.17	17	9	10	1	6
PB.42.23	6	6	5	1	1
PB.44.13	127	72	40	25	19
PB.44.18	163	75	62	141	280
PB.44.19	89	41	44	89	154
PB.44.21	4	2	3	2	5
PB.44.152	3	2	1	3	3
PB.44.164	8	2	3	2	2
PB.44.166	14	2	6	5	11
PB.44.179	27	1	6	5	4
PB.44.197	68	26	6	10	11
PB.44.204	1	3	1	2	4
PB.44.207	2	1	1	6	1
PB.44.210	81	46	14	67	64
PB.44.212	10	8	2	6	9
PB.44.216	277	118	121	335	243
PB.44.217	48	31	21	45	38
PB.44.223	49	21	36	59	24
PB.44.224	10	9	6	4	3
PB.46.2	9	1	2	2	3
PB.46.10	5	1	2	1	4
PB.46.20	2	1	1	5	1
PB.49.7	63	6	2	53	29
PB.49.16	14	1	2	6	3
PB.49.27	37	2	1	22	4
PB.49.120	78	4	3	50	28
PB.49.168	113	11	2	87	59
PB.49.185	49	2	3	34	22
PB.49.208	55	3	3	28	6
PB.49.260	1	1	1	1	1
PB.49.270	14	2	8	15	3
PB.49.289	83	46	75	132	128
PB.49.290	46	51	38	93	118
PB.49.291	35	41	67	53	33
PB.49.293	7	3	6	20	7
PB.49.294	5	3	7	23	6
PB.49.295	2	1	1	2	1
PB.49.298	2	6	5	6	4
PB.49.304	2	1	1	2	5
PB.49.350	7	1	2	8	3
PB.51.7	1	1	4	15	5
PB.52.3	2	2	1	1	1
PB.65.2	9	6	3	7	4
PB.65.4	12	7	4	23	20
PB.65.6	4	3	1	3	3
PB.65.64	7	1	5	11	5
PB.65.87	3	1	1	2	5
PB.65.115	8	4	3	6	5
PB.65.151	3	2	1	3	1
PB.65.183	2	3	2	5	5
PB.65.186	7	3	3	6	17
PB.65.202	81	54	116	7	37
PB.65.207	1	3	2	1	2
PB.65.240	44	8	26	10	20
PB.65.244	41	9	26	4	8
PB.65.252	48	16	14	3	15
PB.65.255	5	1	2	2	1
PB.65.261	48	22	29	7	22
PB.65.271	21	13	33	13	11
PB.65.275	33	17	11	6	9
PB.65.301	9	4	9	1	7
PB.65.326	6	6	3	4	1
PB.65.349	5	5	13	2	6
PB.65.352	37	16	39	18	42
PB.65.357	17	9	21	3	7
PB.65.367	7	5	5	1	8
PB.65.378	21	7	29	4	16
PB.65.382	4	3	4	1	2
PB.65.409	360	149	117	46	125
PB.65.411	39	13	16	6	15
PB.65.413	20	9	12	3	2
PB.65.414	74	22	25	9	12
PB.65.416	43	13	17	6	14
PB.65.418	31	10	10	1	4
PB.65.468	25	18	4	3	5
PB.65.470	6	3	4	3	2
PB.65.498	19	9	14	3	11
PB.65.502	9	1	3	2	1
PB.65.525	25	10	8	7	9
PB.65.527	26	10	12	11	16
PB.65.528	2	3	7	6	4
PB.65.530	4	1	3	4	3
PB.65.537	26	10	8	3	1
PB.65.568	27	4	22	8	1
PB.65.585	6	3	4	4	5
PB.65.589	2	1	1	2	1
PB.65.592	5	1	3	1	2
PB.65.595	4	1	5	2	1
PB.65.600	3	1	2	1	3
PB.65.749	16	3	2	1	7
PB.65.762	12	11	15	36	36
PB.65.819	5	1	1	4	4
PB.65.843	95	25	25	59	217
PB.65.851	44	26	23	20	23
PB.65.854	4	1	1	5	1
PB.65.871	105	41	50	113	145
PB.65.900	2161	868	753	2370	2495
PB.65.901	21	8	15	38	22
PB.65.903	8	3	3	8	5
PB.65.911	19	4	1	20	2
PB.65.950	12	1	1	4	2
PB.65.951	421	122	117	317	418
PB.65.1019	52	4	16	24	40
PB.65.1051	1	2	2	2	2
PB.65.1076	1	3	1	2	4
PB.65.1209	6	4	1	4	3
PB.65.1211	8	5	4	4	8
PB.65.1219	62	25	17	41	4
PB.65.1272	36	6	5	41	57
PB.65.1275	8	1	2	4	13
PB.65.1321	1	2	3	12	30
PB.65.1327	6	1	1	9	18
PB.65.1373	5	3	4	6	11
PB.65.1374	28	5	4	27	48
PB.65.1376	25	17	11	20	55
PB.65.1381	63	23	32	40	63
PB.65.1382	26	14	5	19	32
PB.65.1416	40	21	9	41	4
PB.65.1426	33	17	8	19	12
PB.65.1478	9	1	3	1	8
PB.65.1480	7	3	9	8	13
PB.67.1	33	17	18	47	71
PB.67.5	1	1	2	8	1
PB.67.16	115	46	68	169	134
PB.67.19	5	3	1	4	5
PB.67.23	12	7	9	20	9
PB.67.24	5	5	2	6	5
PB.67.26	3	2	4	3	3
PB.67.29	2	1	1	2	4
PB.67.34	3	2	6	4	7
PB.67.40	3	2	3	3	2
PB.67.121	7	2	4	5	1
PB.67.134	3	1	1	4	17
PB.67.135	7	2	2	1	2
PB.67.137	12	7	4	11	9
PB.67.157	6	6	5	7	9
PB.67.176	20	3	5	28	40
PB.67.178	2	1	1	3	1
PB.67.179	62	18	43	82	71
PB.67.187	4	4	8	12	13
PB.67.318	3	1	3	1	6
PB.67.336	3	1	1	4	2
PB.67.340	5	1	1	6	2
PB.67.350	25	3	2	52	23
PB.69.1	35	17	6	74	26
PB.69.13	60	20	24	65	26
PB.69.25	25	24	4	26	27
PB.69.27	174	90	93	266	129
PB.69.48	90	31	46	109	100
PB.69.50	12	6	6	9	8
PB.69.51	2	2	4	6	5
PB.69.55	4	1	1	1	2
PB.69.64	1	2	1	4	1
